Processes: 388 total, 4 running, 384 sleeping, 1497 threads 
2019/01/17 15:08:14
Load Avg: 2.87, 2.74, 2.66 
CPU usage: 42.14% user, 19.28% sys, 38.57% idle 
SharedLibs: 250M resident, 64M data, 69M linkedit.
MemRegions: 91607 total, 4912M resident, 202M private, 1082M shared.
PhysMem: 10G used (1556M wired), 1596M unused.
VM: 2565G vsize, 1113M framework vsize, 122878(0) swapins, 207342(0) swapouts.
Networks: packets: 4415501/4137M in, 2541678/316M out.
Disks: 3008177/501G read, 5218720/493G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP  PPID  STATE    BOOSTS       %CPU_ME %CPU_OTHRS UID        FAULTS   COW     MSGSENT    MSGRECV   SYSBSD     SYSMACH    CSW        PAGEINS IDLEW    POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
642    spindump         0.0  00:14.05 3     2   128    49M    0B     980K   642   1     sleeping *0[1]        0.00000 0.00000    0          985534   230     212185     115852    133767     209769     57249      26385   392      0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
621    IMDPersistenceAg 0.0  00:01.53 2     1   59     2588K  0B     28K    621   1     sleeping  0[2]        0.00000 0.00000    501        13043    197     5334       18213     96961      30663      39210      63      710      0.0   0          0          macadmin           N/A    N/A   N/A   N/A   N/A   N/A  
620    findmydeviced    0.0  00:00.35 2     1   60     868K   0B     1120K  620   1     sleeping  0[1]        0.00000 0.00000    0          8233     244     3863       5522      19718      14310      8876       131     230      0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
615    CloudKeychainPro 0.0  00:00.29 2     1   37     1188K  0B     44K    615   1     sleeping  0[1]        0.00000 0.00000    501        4203     148     3704       6004      16145      13968      10088      5       198      0.0   0          0          macadmin           N/A    N/A   N/A   N/A   N/A   N/A  
608    nfcd             0.0  00:00.92 2     1   50     1692K  0B     8192B  608   1     sleeping *0[1]        0.00000 0.00000    260        2761     197     14322      14188     63311      69715      29488      155     71       0.0   0          0          _applepay          N/A    N/A   N/A   N/A   N/A   N/A  
581    CrashReporterSup 0.0  00:00.18 2     1   32     988K   0B     60K    581   1     sleeping  0[4]        0.00000 0.00000    0          2221     136     2654       5216      14162      12072      5504       3       44       0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
580    wirelessproxd    0.0  00:00.77 2     1   58     2800K  0B     228K   580   1     sleeping  0[290]      0.00000 0.00000    0          4609     181     13695      8390      29602      27590      14124      96      149      0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
578    filecoordination 0.0  00:01.07 2     2   103    1568K  0B     20K    578   1     sleeping *0[1]        0.00000 0.00000    0          10325    149     19133      5965      35893      21993      10384      60      270      0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
560    pkd              0.0  00:03.28 2     1   57     4532K  0B     108K   560   1     sleeping  0[13552]    0.00000 0.00000    501        11248    191     66291      37315     136493     139228     63295      99      93       0.0   0          0          macadmin           N/A    N/A   N/A   N/A   N/A   N/A  
556    tccd             0.0  00:00.25 2     1   29     3608K  4096B  1008K  556   1     sleeping  0[37]       0.00000 0.00000    0          3563     155     2925       5371      17299      12617      5809       2       65       0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
554    systemsoundserve 0.0  00:01.51 3     3   91     3716K  440K   68K    554   1     sleeping *0[1]        0.00000 0.00000    0          12734    389     30178      26489     67207      52112      52240      260     687      0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
531    distnoted        0.0  00:14.39 3     2   42     3424K  0B     0B     531   1     sleeping *0[1]        0.00000 0.00000    501        62287    103     82651      63738     1312657    141365     204624     0       5471     0.0   0          0          macadmin           N/A    N/A   N/A   N/A   N/A   N/A  
525    securityd_servic 0.0  00:01.40 2     2   32     2176K  0B     0B     525   1     sleeping *0[1]        0.00000 0.00000    0          1959     138     2449       800       2510       1499       1052       6       22       0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
351    coreauthd        0.0  00:00.83 2     1   29     1524K  0B     4096B  351   1     sleeping  0[790]      0.00000 0.00000    0          5350     181     10181      8461      25598      18127      10559      94      141      0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
346    cfprefsd         0.0  00:04.02 2     2   40     1240K  0B     180K   346   1     sleeping  0[17675]    0.00000 0.00000    501        7328     102     95069      20637     146696     99237      41116      0       703      0.0   0          0          macadmin           N/A    N/A   N/A   N/A   N/A   N/A  
345    lsd              0.0  00:02.93 2     1   65     5812K  0B     564K   345   1     sleeping  0[939]      0.00000 0.00000    501        97539    4276    19022      23411     113529     55713      36635      6811    891      0.0   0          0          macadmin           N/A    N/A   N/A   N/A   N/A   N/A  
335    com.apple.audio. 0.0  00:00.01 2     2   16     828K   0B     16K    335   1     sleeping  0[2]        0.00000 0.00000    202        2444     153     102        34        489        201        49         1       0        0.0   0          0          _coreaudiod        N/A    N/A   N/A   N/A   N/A   N/A  
334    AudioComponentRe 0.0  00:00.20 2     1   39     2664K  20K    328K   334   1     sleeping  0[3]        0.00000 0.00000    0          2755     146     2616       5231      13744      12085      5334       42      43       0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
329    GSSCred          0.0  00:00.03 3     3   20     680K   0B     4096B  329   1     sleeping *0[1]        0.00000 0.00000    0          1407     130     223        77        1589       259        1280       1       39       0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
320    com.apple.Perfor 0.0  00:08.00 2     2   85     3260K  0B     20K    320   1     sleeping  0[20314]    0.00000 0.00000    0          11508    137     58666      24262     218023     47934      66331      7       901      0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
314    com.apple.Accoun 0.0  00:00.12 2     2   20     916K   0B     16K    314   1     sleeping  0[230]      0.00000 0.00000    0          2502     130     2377       955       5955       2835       2347       4       111      0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
306    ctkahp           0.0  00:00.18 2     1   30     2392K  0B     4096B  306   1     sleeping  0[484]      0.00000 0.00000    0          4025     156     4240       1271      6686       5944       2589       4       103      0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
305    sharedfilelistd  0.0  00:01.30 2     2   47     2024K  0B     264K   305   1     sleeping  0[2]        0.00000 0.00000    0          13219    198     1591       16558     94467      17757      36999      39      693      0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
297    bootinstalld     0.0  00:00.02 2     1   22     2388K  0B     0B     297   1     sleeping *0[1]        0.00000 0.00000    0          2926     173     75         28        543        176        161        6       1        0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
291    com.apple.CodeSi 0.0  00:01.51 2     2   19     2716K  0B     1612K  291   1     sleeping  0[997]      0.00000 0.00000    0          13250    135     9444       4186      119135     9543       8578       0       187      0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
289    colorsyncd       0.0  00:00.02 2     1   32     2012K  0B     4096B  289   1     sleeping  0[83]       0.00000 0.00000    0          1724     136     416        118       1192       407        166        0       2        0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
282    netbiosd         0.0  00:10.07 2     2   31     1276K  0B     1420K  282   1     sleeping *0[1]        0.00000 0.00000    222        32750    177     12672      2943      702008     18112      292885     26      4499     0.0   0          0          _netbios           N/A    N/A   N/A   N/A   N/A   N/A  
281    colorsync.displa 0.0  00:00.19 2     1   41     1132K  0B     24K    281   1     sleeping  0[10]       0.00000 0.00000    0          2263     139     2840       5278      14463      12650      5684       21      44       0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
280    CVMServer        0.0  00:00.49 2     2   138    2120K  0B     4096B  280   1     sleeping *0[1]        0.00000 0.00000    0          2456     99      21518      6185      22733      18894      8169       1       430      0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
242    mds_stores       0.6  02:15.60 5     3   86+    72M+   27M    4608K  242   1     sleeping *0[1]        0.00000 0.62466    0          1972907+ 10614   712038+    295713+   3687672+   845778+    1215692+   82782   9531     0.6   40322178   26882394   root               N/A    N/A   N/A   N/A   N/A   N/A  
236    watchdogd        0.0  00:05.71 4     1   38     672K   0B     0B     236   1     sleeping *0[1]        0.00000 0.00000    0          1892     128     30705      13103     38264      22723      929453     0       121234   0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
221    SymSharedSetting 0.0  00:05.12 3     2   307    7524K  0B     64K    221   1     sleeping *0[1]        0.00000 0.00000    0          21920    386     26431      24519     163293     43824      55003      61      1512     0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
215    com.apple.cmio.r 0.0  00:00.00 2     2   16     16K    0B     432K   215   1     sleeping  0[2]        0.00000 0.00000    0          541      96      86         35        281        152        69         1       3        0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
211    systemstats      0.0  00:00.79 2     1   72     668K   0B     912K   52    52    sleeping  0[0]        0.00000 0.00000    0          10749    203     22015      16264     41419      38122      23201      88      1073     0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
209    sysmond          0.0  00:17.33 2     2   19     944K   0B     392K   209   1     sleeping  0[5]        0.00000 0.00000    0          13304    133     1130007    513160    916130     1051878    239270     62      189      0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
200    signpost_notific 0.0  00:05.09 2     2   146    660K   0B     292K   200   1     sleeping  0[22098]    0.00000 0.00000    0          17249    144     94742      28217     198062     84727      78004      21      1126     0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
198    socketfilterfw   0.0  04:02.89 3     1   53     3392K  0B     1636K  198   1     sleeping *0[1]        0.00000 0.00000    0          1480573  197     234401     22638     4438184    598789     410521     4       1074     0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
196    VDCAssistant     0.0  00:00.74 3     2   85     2948K  0B     4096B  196   1     sleeping *0[1]        0.00000 0.00000    262        5252     208     4617       17186     47172      21599      33204      131     167      0.0   0          0          _cmiodalassistants N/A    N/A   N/A   N/A   N/A   N/A  
195    dpd              0.0  00:00.18 2     1   48     992K   0B     88K    195   1     sleeping  0[2]        0.00000 0.00000    0          3137     157     3386       5588      13311      14498      6094       1       42       0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
194    ethcheck         0.0  00:00.06 2     2   22     24K    0B     708K   194   1     sleeping  0[0]        0.00000 0.00000    0          1503     133     4009       1825      1395       2427       2894       5       0        0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
193    com.apple.ifdrea 0.0  00:00.02 2     1   29     992K   0B     0B     193   1     sleeping  0[1]        0.00000 0.00000    0          2580     154     328        136       521        430        66         5       3        0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
191    ptmd             0.0  00:00.71 2     1   25     596K   0B     0B     191   1     sleeping *0[1]        0.00000 0.00000    0          1359     129     44828      19000     310        33417      71268      4       13298    0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
190    usbd             0.0  00:01.02 2     1   59     460K   0B     1868K  190   1     sleeping  0[0]        0.00000 0.00000    0          11238    162     59058      42219     20272      101979     14024      44      97       0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
189    corestoraged     0.0  00:01.70 2     1   63     3400K  0B     0B     189   1     sleeping *0[1]        0.00000 0.00000    0          334045   172     43318      27465     22304      143730     33825      14      55       0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
187    analyticsd       0.0  00:03.12 2     1   116    4192K  0B     2112K  187   1     sleeping  0[476]      0.00000 0.00000    263        11116    175     23497      16286     66635      61243      21140      647     928      0.0   0          0          _analyticsd        N/A    N/A   N/A   N/A   N/A   N/A  
186    awdd             0.0  00:09.38 2     1   123    3960K  28K    1140K  186   1     sleeping  0[15617]    0.00000 0.00000    0          27678    180     117582     71559     438372     240249     143171     649     3305     0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
185    smd              0.0  00:00.04 2     2   17     268K   0B     376K   185   1     sleeping  0[36]       0.00000 0.00000    0          1685     127     806        398       2533       1059       764        5       11       0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
180    nsurlstoraged    0.0  00:00.46 2     1   39     1796K  0B     72K    180   1     sleeping  0[28]       0.00000 0.00000    243        4118     145     2896       5270      13989      12488      5591       54      50       0.0   0          0          _nsurlstoraged     N/A    N/A   N/A   N/A   N/A   N/A  
178    com.apple.audio. 0.0  00:01.49 2     2   40     2012K  0B     64K    178   1     sleeping  0[4]        0.00000 0.00000    202        12366    143     1157       16318     99942      16806      39392      2       636      0.0   0          0          _coreaudiod        N/A    N/A   N/A   N/A   N/A   N/A  
177    lsd              0.0  00:08.70 2     1   106    3632K  0B     1996K  177   1     sleeping  0[12150]    0.00000 0.00000    0          147144   7961    52863      38974     270703     120848     83038      6302    1517     0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
176    ctkd             0.0  00:00.02 2     2   22     2108K  0B     116K   176   1     sleeping  0[5]        0.00000 0.00000    259        2757     159     109        46        604        192        79         6       3        0.0   0          0          _ctkd              N/A    N/A   N/A   N/A   N/A   N/A  
170    mDNSResponderHel 0.0  00:07.43 3     2   47     1728K  0B     8192B  170   1     sleeping *0[1]        0.00000 0.00000    0          3024     139     480377+    254150+   284794+    254562+    283823+    2       39619    0.0   10406      59555      root               N/A    N/A   N/A   N/A   N/A   N/A  
169    com.apple.ctkpcs 0.0  00:00.01 2     2   24     884K   0B     4096B  169   1     sleeping  0[3]        0.00000 0.00000    0          2391     154     100        36        430        175        66         27      1        0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
167    symptomsd        0.0  00:25.26 2     1   128    3052K  48K    748K   167   1     sleeping  0[26127]    0.00000 0.00000    24         90910    212     199313     79423     1066450    365831     374014     834     4216     0.0   0          0          _networkd          N/A    N/A   N/A   N/A   N/A   N/A  
166    coresymbolicatio 0.0  00:02.95 2     2   25     2144K  0B     40K    166   1     sleeping  0[20678]    0.00000 0.00000    0          82042    143     110787     34103     147555     102255     36529      53457   157      0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
165    mDNSResponder    0.1  00:52.35 5     1   90     4112K  0B     112K   165   1     sleeping *0[1]        0.00000 0.00000    65         18262    208     126204+    102958+   3811251+   194755+    524562+    162     23758    0.1   2128807    5837360    _mdnsresponder     N/A    N/A   N/A   N/A   N/A   N/A  
164    sandboxd         0.0  00:58.96 3     2   58     26M    0B     5164K  164   1     sleeping *0[1]        0.00000 0.00000    0          2064619  161     968313     492095    1522524    991283     151375     2842    1070     0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
151    nsurlsessiond    0.0  00:09.84 3     2   99     73M    0B     1216K  151   1     sleeping  0[107993]   0.00000 0.00000    242        85668    588     96750      34540     455463+    132343     255587+    592     12837    0.0   57967      312046     _nsurlsessiond     N/A    N/A   N/A   N/A   N/A   N/A  
146    mobileassetd     0.0  00:08.23 2     1   74     13M    0B     2872K  146   1     sleeping  0[1552]     0.00000 0.00000    0          39082    701     37983      18163     502290     43446      47259      261     148      0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
145    trustd           0.0  04:21.29 6     3   115    7724K  3136K  256K   145   1     sleeping  0[107247]   0.00000 0.00000    0          43304    854     581856     133710    10117867   3257884    604581     179     2416     0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
144    kdc              0.0  00:00.69 2     2   41     2792K  0B     8192B  144   1     sleeping *0[1]        0.00000 0.00000    0          7172     157     1046       19657     59038      20066      24502      59      535      0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
141    coreaudiod       0.0  03:11.56 6     2   290    4352K  0B     0B     141   1     sleeping *0[1]        0.00000 0.00000    202        113346   254     3504344    312638    5981731    6497116    5546132    623     1138740  0.0   0          0          _coreaudiod        N/A    N/A   N/A   N/A   N/A   N/A  
139    nehelper         0.0  00:02.28 2     1   55     2988K  0B     32K    139   1     sleeping  0[2106]     0.00000 0.00000    0          45357    168     29149      15093     109444     43934      26990      153     864      0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
127    airportd         0.0  00:04.09 6     4   355    4912K  0B     3684K  127   1     sleeping  0[16437]    0.00000 0.00000    0          18069    213     55062      29297     182233     118885     77091      498     579      0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
117    cfprefsd         0.0  01:04.68 2     2   651    1904K  32K    0B     117   1     sleeping  0[110745]   0.00000 0.00000    0          218652   102     978926     305168    3571446    1289982    1010111    34      4807     0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
116    coreservicesd    0.0  00:13.15 4     1   257    6884K  0B     204K   116   1     sleeping *0[1]        0.00000 0.00000    0          34641    153     889390     199047    440143     1346737    161161     56      555      0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
115    authd            0.0  00:18.45 3     3   104    6960K  256K   180K   115   1     sleeping  0[9009]     0.00000 0.00000    0          66038    191     66601      39904     462498     124160     98394      250     988      0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
114    aslmanager       0.0  00:00.16 2     2   23     2200K  0B     232K   114   1     sleeping *0[1]        0.00000 0.00000    0          3394     140     560        444       9111       468        1243       30      33       0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
113    amfid            0.0  00:04.46 2     2   40     4092K  0B     3744K  113   1     sleeping *0[1]        0.00000 0.00000    0          16657    196     2130       25912     166314     28707      75239      26      966      0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
108    distnoted        0.0  01:32.80 6     5   154    2984K- 0B     16K    108   1     sleeping *0[1]        0.00000 0.00000    241        195815   103     635181     162890    11623001   636700     673211+    21      10185    0.0   21103      51926      _distnote          N/A    N/A   N/A   N/A   N/A   N/A  
105    notifyd          0.0  01:56.52 2     2   384    2012K  0B     24K    105   1     sleeping *0[1]        0.00000 0.00893    0          561159+  84      6209435+   1080381+  3604319+   8102084+   1950098+   4       1656     0.0   501742     1401964    root               N/A    N/A   N/A   N/A   N/A   N/A  
104    AirPlayXPCHelper 0.0  00:01.32 2     2   108    3108K  0B     20K    104   1     sleeping *0[1]        0.00000 0.00000    0          11031    192     20282      26062     70965      40627      45780      774     685      0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
103    corebrightnessd  0.0  00:03.64 2     1   84     9292K  0B     0B     103   1     sleeping *0[1]        0.00000 0.00000    0          9070     173     73541      33777     105666     224078     82916      646     724      0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
102    hidd             0.0  06:15.99 5     1   232    1964K  0B     16K    102   1     sleeping *0[1]        0.00000 0.00000    261        808229   175     5170861+   3956296+  10233321+  14652943+  7820206+   228     6348     0.0   98719      403173     _hidd              N/A    N/A   N/A   N/A   N/A   N/A  
101    bluetoothd       0.0  00:02.55 2     1   120    3448K  0B     8192B  101   1     sleeping *0[1]        0.00000 0.00000    0          7153     227     70669      46617     95717      166664     54096      515     208      0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
99     KernelEventAgent 0.0  00:00.01 4     2   26     640K   0B     0B     99    1     sleeping *0[1]        0.00000 0.00000    0          1361     128     126        22        1029       470        153        22      1        0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
98     logind           0.0  00:01.04 2     1   64     1144K  0B     4096B  98    1     sleeping *0[1]        0.00000 0.00000    0          17532    3549    20346      15799     53128      75573      33226      91      194      0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
96     revisiond        0.0  00:01.27 3     1   65     3592K  176K   1956K  96    1     sleeping  0[95]       0.00000 0.00000    0          7387     188     4487       6156      53854      55823      11323      294     207      0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
94     dasd             0.0  00:21.76 3     2   56     3888K  4096B  1044K  94    1     sleeping  0[10694]    0.00000 0.00000    0          38822    218     111484     24582     590567     155826     174648     500     2770     0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
90     autofsd          0.0  00:00.13 2     2   25     736K   0B     0B     90    1     sleeping *0[1]        0.00000 0.00000    0          3578     335     454        231       2452       738        2274       28      53       0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
89     displaypolicyd   0.0  00:00.39 3     1   46     1116K  0B     4096B  89    1     sleeping *0[1]        0.00000 0.00000    244        3569     164     7192       9259      23026      28467      16261      133     149      0.0   0          0          _displaypolicyd    N/A    N/A   N/A   N/A   N/A   N/A  
87     locationd        0.0  00:10.57 5     1   115    3496K  4096B  824K   87    1     sleeping  0[11378]    0.00000 0.00000    205        24024    254     206831     83332     295514     273129     140304     786     4450     0.0   0          0          _locationd         N/A    N/A   N/A   N/A   N/A   N/A  
86     securityd        0.0  00:49.78 5     2   185    5560K  0B     324K   86    1     sleeping *0[1]        0.00000 0.00000    0          52300    209     139669     45364     376059     826257     165763     320     1153     0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
84     launchservicesd  0.0  00:35.51 2     2   484    4552K  0B     1968K  84    1     sleeping  0[38000]    0.00000 0.00000    0          155040   183     1483911    532206    1191063    1059336    420183     111     2959     0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
83     nbstated         0.0  00:01.13 2     1   39     940K   0B     1992K  83    1     sleeping  0[0]        0.00000 0.00000    0          11316    150     2503       14796     84202      21412      29442      11      489      0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
82     timed            0.0  00:04.58 2     1   42     2232K  0B     4096B  82    1     sleeping *0[1]        0.00000 0.00000    266        5492     163     84949      22125     173813     119342     65831      109     439      0.0   0          0          _timed             N/A    N/A   N/A   N/A   N/A   N/A  
81     apsd             0.0  00:25.94 4     1   143    11M    12K    116K   81    1     sleeping *0[1]        0.00000 0.00000    0          27963    274     152868     55827     1348986    357848     344633     784     2722     0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
80     SymDaemon        3.1  05:49:53 22    5   490+   364M+  0B     23M    80    1     sleeping  0[0]        0.00000 0.00000    0          7856391+ 69341   3831842+   1901429+  276139365+ 8154135+   69142069+  13082   417222   3.1   136595997  129247471  root               N/A    N/A   N/A   N/A   N/A   N/A  
78     opendirectoryd   0.0  04:13.40 9     9   1228+  18M+   64K    52K    78    1     sleeping *0[1]        0.00000 0.04611    0          723772+  290     1637637+   584641+   17257280+  2390123+   4618964+   4697    10300    0.0   1323286    2985251    root               N/A    N/A   N/A   N/A   N/A   N/A  
75     backupd-helper   0.0  00:00.68 2     1   49     1196K  0B     700K   75    1     sleeping  0[0]        0.00000 0.00000    0          11605    200     9267       6857      29940      30900      13567      3239    124      0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
74     coreduetd        0.0  00:25.43 2     1   127    7856K  1748K  3464K  74    1     sleeping  0[10804]    0.00000 0.00000    0          73831    449     206951     55140     915605     378384     244221     1889    3455     0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
72     diskarbitrationd 0.0  00:03.86 2     1   362    1752K  0B     20K    72    1     sleeping *0[1]        0.00000 0.00000    0          32982    4257    157127     41479     102163     340330     58878      48      68       0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
71     iconservicesd    0.0  00:00.51 2     2   65     1360K  0B     1556K  71    1     sleeping  0[96]       0.00000 0.00000    240        24186    161     3289       5991      26639      8959       7978       2       206      0.0   0          0          _iconservices      N/A    N/A   N/A   N/A   N/A   N/A  
70     iconservicesagen 0.0  00:00.29 2     2   38     11M    0B     1792K  70    1     sleeping  0[2]        0.00000 0.00000    0          11555    178     1042       5121      15030      5708       6920       44      76       0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
64     mds              0.1  03:03.95 7     4   850+   45M+   0B     7000K  64    1     sleeping *0[1]        0.00594 0.04124    0          2289483+ 23256   791816+    230992+   8187427+   908699+    2661305+   958     39577    0.1   2025137    5147825    root               N/A    N/A   N/A   N/A   N/A   N/A  
63     warmd            0.0  00:04.03 4     3   55     4848K  0B     392K   63    1     sleeping *0[1]        0.00000 0.00000    0          9230     169     4350       15875     310544     18376      236542     501     5352     0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
60     logd             0.0  00:59.24 3     3   785+   34M+   0B     264K   60    1     sleeping *0[1]        0.00000 0.00000    0          291312+  146     537980+    482874+   2773616+   624192+    1234097+   39031   3396     0.0   362787     1483105    root               N/A    N/A   N/A   N/A   N/A   N/A  
59     keybagd          0.0  00:00.02 2     2   21     852K   0B     0B     59    1     sleeping *0[1]        0.00000 0.00000    0          1533     141     130        52        489        206        260        39      2        0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
57     JamfDaemon       0.0  00:00.07 2     1   33     1840K  0B     4096B  57    1     sleeping *0[1]        0.00000 0.00000    0          3336     303     156        43        2561       265        165        543     1        0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
56     powerd           0.0  00:44.94 2     1   101    1652K  0B     0B     56    1     sleeping *0[1]        0.00000 0.00000    0          240036   163     1367808    162551    1009564    2410139    676350     820     8438     0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
55     configd          0.0  00:34.88 8     1   499    3356K  0B     0B     55    1     sleeping *0[1]        0.00000 0.00000    0          509241   334     949893     128345    1890253    1947762    304735     495     447      0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
54     appleeventsd     0.0  00:01.82 2     2   179    1832K  0B     3560K  54    1     sleeping  0[323]      0.00000 0.00000    55         14184    174     4620       17798     107531     22642      43208      31      783      0.0   0          0          _appleevents       N/A    N/A   N/A   N/A   N/A   N/A  
52     systemstats      0.0  00:16.46 3     2   86     1908K  0B     2192K  52    1     sleeping  0[26117]    0.00000 0.00000    0          38560    268     190049     82746     639548     169059     951398     993     121133   0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
50     mediaremoted     0.0  00:06.55 2     1   119    2128K  0B     524K   50    1     sleeping  0[5452]     0.00000 0.00000    0          28076    245     134071     59547     208663     195033     91084      809     1100     0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
47     fseventsd        0.0  01:04.25 9     1   257    7824K  0B     0B     47    1     sleeping *0[1]        0.00000 0.00000    0          210421+  132     111156+    19185     3729497+   432349+    873065+    3       40942    0.0   622199     1865486    root               N/A    N/A   N/A   N/A   N/A   N/A  
46     kextd            0.0  00:08.03 2     1   72     17M    0B     2212K  46    1     sleeping *0[1]        0.00000 0.00000    0          888415   596     50012      43079     212307     198975     95044      2024    1007     0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
45     uninstalld       0.0  00:06.19 2     1   21-    864K-  0B     0B     45    1     sleeping *0[1]        0.00000 0.00000    0          50870    150     25914      22        309737+    104890     215973+    89      11444    0.0   57031      189939     root               N/A    N/A   N/A   N/A   N/A   N/A  
42     UserEventAgent   0.0  00:30.01 4     1   750    5176K  0B     0B     42    1     sleeping *0[1]        0.00000 0.00000    0          101250   259     311779     201642    1100657    783415     641845     338     9981     0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
41     syslogd          0.0  00:09.08 3     3   120    792K   0B     248K   41    1     sleeping  0[12958]    0.00000 0.00000    0          44116    87      67456      8100      792940     159963     146957     35      2869     0.0   0          0          root               N/A    N/A   N/A   N/A   N/A   N/A  
1      launchd          0.0  12:27.01 3     3   2917   21M    0B     376K   1     0     sleeping  0[0]        0.00000 0.02693    0          342316   5986    4340789+   1218514+  24568458+  8126235+   3226554+   802     5051     0.0   537537     1417364    root               N/A    N/A   N/A   N/A   N/A   N/A  
