Processes: 388 total, 4 running, 384 sleeping, 1497 threads 
2019/01/17 15:08:14
Load Avg: 2.87, 2.74, 2.66 
CPU usage: 42.14% user, 19.28% sys, 38.57% idle 
SharedLibs: 250M resident, 64M data, 69M linkedit.
MemRegions: 91607 total, 4912M resident, 202M private, 1082M shared.
PhysMem: 10G used (1556M wired), 1596M unused.
VM: 2565G vsize, 1113M framework vsize, 122878(0) swapins, 207342(0) swapouts.
Networks: packets: 4415501/4137M in, 2541678/316M out.
Disks: 3008177/501G read, 5218720/493G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP  PPID  STATE    BOOSTS       %CPU_ME %CPU_OTHRS UID        FAULTS   COW     MSGSENT    MSGRECV   SYSBSD     SYSMACH    CSW        PAGEINS IDLEW    POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
63271  mdworker         0.0  00:00.26 4     1   53+    19M+   0B     0B     63271 1     sleeping *0[1+]       0.00000 0.00000    89         13540+   213+    2149+      878+      11404+     2319+      1276+      0       0        0.0   0      0      _spotlight         N/A    N/A   N/A   N/A   N/A   N/A  
63240  mdworker         0.0  00:00.24 4     1   53+    14M+   0B     0B     63240 1     sleeping *0[1+]       0.00000 0.00000    89         11188+   213+    2059+      846+      11189+     2232+      2371+      3+      0        0.0   0      0      _spotlight         N/A    N/A   N/A   N/A   N/A   N/A  
63223  CoreServicesUIAg 0.0  00:00.41 3     1   153+   4124K+ 0B     0B     63223 1     sleeping *0[1+]       0.00000 0.00000    2023764136 5597+    287+    4484+      802+      14593+     16991+     12680+     4+      0        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
60998  bash             0.0  00:00.24 1     0   19+    780K+  0B     0B     60998 60997 sleeping *0[1+]       0.00000 0.00000    2023764136 4085+    2115+   182+       80+       28599+     224+       469+       0       0        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
60997  login            0.0  00:00.03 2     1   29+    1124K+ 0B     0B     60997 1409  sleeping *0[9+]       0.00000 0.00000    0          1701+    213+    128+       30+       1832+      262+       145+       12+     0        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
59916  com.apple.WebKit 0.0  00:39.28 6     1   188+   110M+  360K+  0B     59916 1     sleeping *0[25777+]   0.00000 0.00000    2023764136 151819+  750+    161419+    55487+    398097+    478085+    179820+    2+      0        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
53283  warmd_agent      0.0  00:00.18 2     2   45+    520K+  0B     520K+  53283 1     sleeping *0[1+]       0.00000 0.00000    2023764136 2000+    136+    395+       3657+     12354+     4263+      8016+      0       0        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
52771  bash             0.0  00:00.08 1     0   19+    200K+  0B     576K+  52771 52770 sleeping *0[1+]       0.00000 0.00000    2023764136 1785+    703+    112+       45+       9547+      187+       266+       0       0        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
52770  login            0.0  00:00.02 2     1   30+    32K+   0B     1128K+ 52770 1409  sleeping *0[9+]       0.00000 0.00000    0          1708+    209+    128+       30+       1681+      261+       88+        0       0        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
50657  com.apple.Safari 0.0  00:00.12 3     1   42+    768K+  0B     1284K+ 50657 1     sleeping *0[2+]       0.00000 0.00000    2023764136 6648+    210+    1041+      1848+     5951+      4498+      2242+      5+      0        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
49812  diskimages-helpe 0.0  00:17.83 3     1   68+    1164K+ 0B     18M+   49812 1     sleeping *0[1+]       0.00000 0.00000    2023764136 7063+    158+    10363+     7132+     9362+      14032+     27350+     0       0        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
49766  crashpad_handler 0.0  00:00.02 4     1   40+    476K+  0B     492K+  49765 1     sleeping *0[1+]       0.00000 0.00000    2023764136 1501+    135+    67+        25+       875+       224+       139+       1+      0        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
49758  Google Chrome He 0.0  00:01.64 14    1   117+   7472K+ 0B     12M+   49647 49647 sleeping *0[5+]       0.00000 0.00000    2023764136 18617+   1749+   12683+     8082+     41431+     66553+     34427+     1655+   8        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
49711  hdiejectd        0.0  00:00.05 2     1   31+    448K+  0B     616K+  49711 1     sleeping  0[0]        0.00000 0.00000    0          2050+    153+    590+       217+      4298+      1048+      831+       14+     0        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
49663  AlertNotificatio 0.0  00:00.02 2     2   25+    568K+  0B     480K+  49663 1     sleeping *0[3+]       0.00000 0.00000    2023764136 2550+    161+    152+       50+       532+       289+       96+        12+     0        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
49661  VTDecoderXPCServ 0.0  00:00.12 2     1   44+    632K+  0B     1880K+ 49661 1     sleeping *0[6+]       0.00000 0.00000    2023764136 2330+    161+    14023+     7366+     5609+      12991+     2246+      1+      0        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
49660  Google Chrome He 0.0  00:03.72 10    1   127+   10M+   0B     17M+   49647 49647 sleeping *0[1+]       0.00000 0.00000    2023764136 20495+   2034+   70452+     35142+    22039+     362811+    63796+     570+    5        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
49652  crashpad_handler 0.0  00:00.03 4     1   40+    492K+  0B     612K+  49651 1     sleeping *0[1+]       0.00000 0.00000    2023764136 2490+    164+    68+        25+       964+       224+       124+       59+     0        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
49650  gamecontrollerd  0.0  00:01.82 3     2   40+    764K+  0B     496K+  49650 1     sleeping *0[16+]      0.00000 0.00000    247        3578+    166+    12264+     1918+     106123+    49442+     75814+     3+      8        0.0   0      0      _gamecontrollerd   N/A    N/A   N/A   N/A   N/A   N/A  
49647  Google Chrome    0.0  00:45.65 29    1   476+   52M+   188K+  9016K+ 49647 1     sleeping *0[967+]     0.00000 0.00000    2023764136 142610+  2234+   206342+    74524+    1154571+   2081038+   465902+    9123+   33       0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
